Gene Symbol	Gene Identifier	U2OS Phenotype	Qiagen Reproducibility Between HeLa and U2OS cells	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
PEX13	5194	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
PEX26	55670	"BC,LA,P"	X	yes	gene		big (large) cells			lammellipodia			cells with protrusions and elongations	
PGLYRP2	114770	"N,C"	X	yes	gene			condensed cells				normal cells		
PGLYRP3	114771	C	X	yes	gene			condensed cells						
PHCA	55331	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
PHF11	51131	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
PIK3R4	30849	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
PIP5K1C	23396	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
PKIB	5570	"C,M"	X	yes	gene			condensed cells			metaphase			
PLAUR	5329	"N,P"	X	yes	gene							normal cells	cells with protrusions and elongations	
PLEK	5341	C		yes	gene			condensed cells						
PLK1	5347	M	X	yes	gene						metaphase			
PLXNA2		"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
PLXNB1		BC		yes	gene		big (large) cells							
PMVK	10654	P	X	yes	gene								cells with protrusions and elongations	
PNMAL1	55228	"C,P"	X	yes	gene			condensed cells					cells with protrusions and elongations	
POLE	5426	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
POLH	5429	"AF,C"	X	yes	gene	actin fibre		condensed cells						
POLR2A	5430	"M,D"	X	yes	gene				debris		metaphase			
POLR2E	5434	"BC,AF,C"	X	yes	gene	actin fibre	big (large) cells	condensed cells						
POLR2F	5435	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
POLR2L	5441	N		yes	gene							normal cells		
POP1	10940	"C,P"	X	yes	gene			condensed cells					cells with protrusions and elongations	
PPCDC	60490	LA	X	yes	gene					lammellipodia				
PPP1R16A	84988	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
PPP2R5E	5529	N	X	yes	gene							normal cells		
PQBP1	10084	"N,C"	X	yes	gene			condensed cells				normal cells		
PRC1	9055	"LA,C"	X	yes	gene			condensed cells		lammellipodia				
PRDM8	56978	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
PRELP	5549	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
PRKAB1	5564	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
PRKAG2	51422	BC	X	yes	gene		big (large) cells							
PRRX2	51450	C		yes	gene			condensed cells						
PRSS22	64063	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
PSMA6		"C,M"	X	yes	gene			condensed cells			metaphase			
PSMD1	5707	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
PSMD3	5709	M	X	yes	gene						metaphase			
PSMD8	5714	"M,C"	X	yes	gene			condensed cells			metaphase			
PTDSS2	81490	BC		yes	gene		big (large) cells							
PTGES	9536	"BC,P,C"	X	yes	gene		big (large) cells	condensed cells					cells with protrusions and elongations	
PTPN13	5783	"C,BC,AF"	X	yes	gene	actin fibre	big (large) cells	condensed cells						
PTPN20B		P	X	yes	gene								cells with protrusions and elongations	
PTPRE	5791	BC	X	yes	gene		big (large) cells							
PTRH2	51651	"C,M,BC"	X	yes	gene		big (large) cells	condensed cells			metaphase			
PUM1	9698	"AF,BC"	X	yes	gene	actin fibre	big (large) cells							
PVRL3	25945	"N,BC"	X	yes	gene		big (large) cells					normal cells		
PXMP2		LA	X	yes	gene					lammellipodia				
PZP	5858	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
RAB17	64284	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
RAB1B	81876	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
RAB3D	9545	"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
RAD51	5888	"P,BC,AF"	X	yes	gene	actin fibre	big (large) cells						cells with protrusions and elongations	
RAD51C	5889	BC	X	yes	gene		big (large) cells							
RAN		"BC,AF,LA"	X	yes	gene	actin fibre	big (large) cells			lammellipodia				
RAP2C	57826	"AF,BC"	X	yes	gene	actin fibre	big (large) cells							
RAPH1	65059	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
RASA1	5921	P	X	yes	gene								cells with protrusions and elongations	
RBBP9	10741	"C,M"	X	yes	gene			condensed cells			metaphase			
RBM8A	9939	"M,D"	X	yes	gene				debris		metaphase			
RBP1	5947	C	X	yes	gene			condensed cells						
RCN3	57333	"C,M"	X	yes	gene			condensed cells			metaphase			
RFWD2	64326	BC	X	yes	gene		big (large) cells							
RHBG	57127	P	X	yes	gene								cells with protrusions and elongations	
RHOJ	57381	N		yes	gene							normal cells		
RIC8B	55188	"N,P"	X	yes	gene							normal cells	cells with protrusions and elongations	
RND3	390	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
RPA1	6117	"P,M"	X	yes	gene						metaphase		cells with protrusions and elongations	
RPA2	6118	"C,P"	X	yes	gene			condensed cells					cells with protrusions and elongations	
RPA3	6119	"M,C"	X	yes	gene			condensed cells			metaphase			
RPH3AL	9501	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
RPL10L	140801	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
RPL14		BC	X	yes	gene		big (large) cells							
RPL18		"C,BC"	X	yes	gene		big (large) cells	condensed cells						
RPL24		"BC,C"	X	yes	gene		big (large) cells	condensed cells						
RPL28	6158	"BC,M"	X	yes	gene		big (large) cells				metaphase			
RPL30	6156	"C,BC,AF"	X	yes	gene	actin fibre	big (large) cells	condensed cells						
RPL34		"BC,C"	X	yes	gene		big (large) cells	condensed cells						
RPL35		"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
RPL35A	6165	C		yes	gene			condensed cells						
RPL38	6169	C	X	yes	gene			condensed cells						
RPL39L	116832	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
RPL4		"BC,C"	X	yes	gene		big (large) cells	condensed cells						
RPL7A		"BC,AF,C"	X	yes	gene	actin fibre	big (large) cells	condensed cells						
RPL8	6132	C	X	yes	gene			condensed cells						
RPLP0		"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
RPLP1		"C,BC"	X	yes	gene		big (large) cells	condensed cells						
RPS11		C	X	yes	gene			condensed cells						
RPS13		"C,M"	X	yes	gene			condensed cells			metaphase			
RPS14		C	X	yes	gene			condensed cells						
RPS19		C	X	yes	gene			condensed cells						
RPS21	6227	"C,BC"	X	yes	gene		big (large) cells	condensed cells						
RPS24		C	X	yes	gene			condensed cells						
RPS28		C	X	yes	gene			condensed cells						
RPS29		C	X	yes	gene			condensed cells						
RPS3A		C	X	yes	gene			condensed cells						
RPS5	6193	"C,BC"	X	yes	gene		big (large) cells	condensed cells						
RPS9		"C,BC"	X	yes	gene		big (large) cells	condensed cells						
RPSA		"C,P"	X	yes	gene			condensed cells					cells with protrusions and elongations	
RSC1A1	6248	"N,BC"	X	yes	gene		big (large) cells					normal cells		
RTN1	6252	C		yes	gene			condensed cells						
RUNDC2A	84127	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
RUVBL2	10856	"P,D"	X	yes	gene				debris				cells with protrusions and elongations	
SBNO1	55206	N		yes	gene							normal cells		
SC65	10609	BC	X	yes	gene		big (large) cells							
SCGB1A1	7356	"C,P"	X	yes	gene			condensed cells					cells with protrusions and elongations	
SEC24D	9871	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
SEMA6A	57556	LA	X	yes	gene					lammellipodia				
SERINC1	57515	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
SESN3	143686	"P,LA"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
SETD8		P	X	yes	gene								cells with protrusions and elongations	
SF3A3	10946	"C,M"	X	yes	gene			condensed cells			metaphase			
SF3B1	23451	"P,M,D"	X	yes	gene				debris		metaphase		cells with protrusions and elongations	
SF3B14	51639	"BC,M"	X	yes	gene		big (large) cells				metaphase			
SF3B4	10262	"M,D"	X	yes	gene				debris		metaphase			
SH2B2	10603	BC		yes	gene		big (large) cells							
SHCBP1	79801	"N,LA"	X	yes	gene					lammellipodia		normal cells		
SHH	6469	C		yes	gene			condensed cells						
SHROOM2	357	AF	X	yes	gene	actin fibre								
SLC25A17	10478	BC	X	yes	gene		big (large) cells							
SLC26A1	10861	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
SLC2A13	114134	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
SLC39A1	27173	LA	X	yes	gene					lammellipodia				
SLC39A2	29986	"C,P"	X	yes	gene			condensed cells					cells with protrusions and elongations	
SLC3A2	6520	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
SLC45A2	51151	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
SLC46A1	113235	"N,C"	X	yes	gene			condensed cells				normal cells		
SLC46A2	57864	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
SLC4A2	6522	LA	X	yes	gene					lammellipodia				
SLC6A4	6532	BC		yes	gene		big (large) cells							
SLITRK3	22865	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
SMARCD1	6602	N		yes	gene							normal cells		
SMU1	55234	"M,BC"	X	yes	gene		big (large) cells				metaphase			
SMUG1	23583	BC		yes	gene		big (large) cells							
SMURF1	57154	BC	X	yes	gene		big (large) cells							
SOCS2	8835	"P,C,D"	X	yes	gene			condensed cells	debris				cells with protrusions and elongations	
SOCS7	30837	"C,LA"	X	yes	gene			condensed cells		lammellipodia				
SOLH	6650	"BC,M"	X	yes	gene		big (large) cells				metaphase			
SON	6651	"M,BC"	X	yes	gene		big (large) cells				metaphase			
SPATA20	64847	P		yes	gene								cells with protrusions and elongations	
SPATA7	55812	N	X	yes	gene							normal cells		
SPIC	121599	P	X	yes	gene								cells with protrusions and elongations	
SPIN2A		"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
SPP2	6694	P	X	yes	gene								cells with protrusions and elongations	
SPRY2	10253	"LA,BC"	X	yes	gene		big (large) cells			lammellipodia				
SPSB3	90864	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
SPTA1	6708	P	X	yes	gene								cells with protrusions and elongations	
SSBP3		"BC,C"	X	yes	gene		big (large) cells	condensed cells						
STAP1	26228	C	X	yes	gene			condensed cells						
STAR	6770	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
STK39	27347	N		yes	gene							normal cells		
STRA6	64220	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
SUPT6H	6830	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
SUV39H1	6839	"M,AF"	X	yes	gene	actin fibre					metaphase			
SYT4	6860	C		yes	gene			condensed cells						
SYTL2	54843	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
TAGLN	6876	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
TAS2R49	259295	"M,BC"	X	yes	gene		big (large) cells				metaphase			
TBX21	30009	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
TENC1	23371	N	X	yes	gene							normal cells		
TESK2	10420	LA	X	yes	gene					lammellipodia				
THAP3	90326	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
THRA		"BC,LA,M"	X	yes	gene		big (large) cells			lammellipodia	metaphase			
THSD3	145501	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
TIMM10	26519	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
TLN1	7094	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
TMBIM4	51643	"P,C,M"	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
TMEM61	199964	"BC,P,AF"	X	yes	gene	actin fibre	big (large) cells						cells with protrusions and elongations	
TMOD1	7111	C	X	yes	gene			condensed cells						
TMOD2	29767	N	X	yes	gene							normal cells		
TMPRSS9	360200	"N,BC"	X	yes	gene		big (large) cells					normal cells		
TNFRSF1A	7132	AF	X	yes	gene	actin fibre								
TNPO2	30000	"P,M,C"	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
TP53BP1	7158	N		yes	gene							normal cells		
TP53I13	90313	"BC,M"	X	yes	gene		big (large) cells				metaphase			
TPCN1	53373	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
TPPP2	122664	C	X	yes	gene			condensed cells						
TPRG1	285386	"C,LA"	X	yes	gene			condensed cells		lammellipodia				
TPX2	22974	"M,P"	X	yes	gene						metaphase		cells with protrusions and elongations	
TRA2A	29896	N	X	yes	gene							normal cells		
TRAIP	10293	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
TRAPPC1	58485	P	X	yes	gene								cells with protrusions and elongations	
TRAPPC2L	51693	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
TRAT1	50852	C		yes	gene			condensed cells						
TRIM17	51127	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
TRIM32	22954	C	X	yes	gene			condensed cells						
TRIM9	114088	"LA,AF"	X	yes	gene	actin fibre				lammellipodia				
TRPM8	79054	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
TSPAN9	10867	C	X	yes	gene			condensed cells						
TTC22	55001	LA	X	yes	gene					lammellipodia				
TUBE1	51175	P	X	yes	gene								cells with protrusions and elongations	
UBB		"AF,BC"	X	yes	gene	actin fibre	big (large) cells							
UBC	7316	"LA,BC,M"	X	yes	gene		big (large) cells			lammellipodia	metaphase			
UBE2D2	7322	"C,M"	X	yes	gene			condensed cells			metaphase			
UBOX5	22888	"BC,AF,C"	X	yes	gene	actin fibre	big (large) cells	condensed cells						
UGCGL1	56886	"N,C,M"	X	yes	gene			condensed cells			metaphase	normal cells		
UNC93A	54346	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
UNG	7374	N	X	yes	gene							normal cells		
UPK1A		"M,AF"	X	yes	gene	actin fibre					metaphase			
USO1	8615	BC	X	yes	gene		big (large) cells							
USP1	7398	"C,LA"	X	yes	gene			condensed cells		lammellipodia				
USP18		"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
VARS2	57176	"N,C,LA"	X	yes	gene			condensed cells		lammellipodia		normal cells		
VAX1	11023	"AF,C"	X	yes	gene	actin fibre		condensed cells						
VIT	5212	"C,LA"	X	yes	gene			condensed cells		lammellipodia				
VNN3	55350	"C,AF"	X	yes	gene	actin fibre		condensed cells						
WBSCR22	114049	"LA,P"	X	yes	gene					lammellipodia			cells with protrusions and elongations	
WDHD1	11169	C		yes	gene			condensed cells						
WDR21A	#N/A	"BC,AF,C"	X	yes	gene	actin fibre	big (large) cells	condensed cells						
WEE1	7465	"M,D"	X	yes	gene				debris		metaphase			
WFS1		"P,C,M"	X	yes	gene			condensed cells			metaphase		cells with protrusions and elongations	
WHSC1L1		"M,P,LA"	X	yes	gene					lammellipodia	metaphase		cells with protrusions and elongations	
WIPI1	55062	BC	X	yes	gene		big (large) cells							
WISP1	8840	"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
WRN		"C,M"	X	yes	gene			condensed cells			metaphase			
WWP2	11060	C		yes	gene			condensed cells						
YARS	8565	C		yes	gene			condensed cells						
YIPF4	84272	"BC,AF,LA"	X	yes	gene	actin fibre	big (large) cells			lammellipodia				
ZBTB48	3104	P	X	yes	gene								cells with protrusions and elongations	
ZCCHC13	389874	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
ZDHHC19	131540	"C,BC"	X	yes	gene		big (large) cells	condensed cells						
ZFAND1	79752	"C,LA"	X	yes	gene			condensed cells		lammellipodia				
ZIM3	114026	"N,M"	X	yes	gene						metaphase	normal cells		
ZNF16		BC	X	yes	gene		big (large) cells							
ZNF177	7730	"BC,AF"	X	yes	gene	actin fibre	big (large) cells							
ZNF212	7988	C	X	yes	gene			condensed cells						
ZNF225	7768	N	X	yes	gene							normal cells		
ZNF234	10780	"AF,M"	X	yes	gene	actin fibre					metaphase			
ZNF331	55422	"BC,LA"	X	yes	gene		big (large) cells			lammellipodia				
ZNF442	79973	C	X	yes	gene			condensed cells						
ZNF507	22847	"BC,P"	X	yes	gene		big (large) cells						cells with protrusions and elongations	
ZNF585A		"P,C"	X	yes	gene			condensed cells					cells with protrusions and elongations	
ZNF595	152687	C	X	yes	gene			condensed cells						
ZNRF4	148066	"M,P"	X	yes	gene						metaphase		cells with protrusions and elongations	
