Gene Symbol	Gene Identifier	HeLa Phenotype	HeLa Reproducibility Between Primary and Validation Screen	Qiagen reproducibility between HeLa and U2OS cells	Has Phenotype	Phenotype Annotation Level	Phenotype 1	Phenotype 2	Phenotype 3	Phenotype 4	Phenotype 5	Phenotype 6	Phenotype 7	Phenotype 8	Phenotype 9
GABRA3	2556	"C,M"	X	X	yes	gene			condensed cells			metaphase			
GRIA4	2893	"C,M"		X	yes	gene			condensed cells			metaphase			
IRX4	50805	"C,M"		X	yes	gene			condensed cells			metaphase			
KIAA1604	57703	"M,C"	X	X	yes	gene			condensed cells			metaphase			
LGI2	55203	"C,M"		X	yes	gene			condensed cells			metaphase			
NCOA5	57727	"C,M"	X		yes	gene			condensed cells			metaphase			
PKIB	5570	"C,M"	X	X	yes	gene			condensed cells			metaphase			
PSMA6		"C,M"		X	yes	gene			condensed cells			metaphase			
PSMD8	5714	"M,C"	X	X	yes	gene			condensed cells			metaphase			
RBBP9	10741	"C,M"	X	X	yes	gene			condensed cells			metaphase			
RCN3	57333	"C,M"		X	yes	gene			condensed cells			metaphase			
RHOJ	57381	"C,M"	X		yes	gene			condensed cells			metaphase			
RPA3	6119	"M,C"	X	X	yes	gene			condensed cells			metaphase			
RPS13		"C,M"	X	X	yes	gene			condensed cells			metaphase			
SF3A3	10946	"C,M"	X	X	yes	gene			condensed cells			metaphase			
UBE2D2	7322	"C,M"	X	X	yes	gene			condensed cells			metaphase			
WRN		"C,M"		X	yes	gene			condensed cells			metaphase			
ARHGAP1	392	"N,C"		X	yes	gene			condensed cells				normal cells		
CLDN11	5010	"N,C"	X	X	yes	gene			condensed cells				normal cells		
CLTC	1213	"N,C"	X	X	yes	gene			condensed cells				normal cells		
CYR61	3491	"C,N"		X	yes	gene			condensed cells				normal cells		
ELAVL4	1996	"N,C"		X	yes	gene			condensed cells				normal cells		
FKBP2	2286	"N,C"			yes	gene			condensed cells				normal cells		
FUCA2	2519	"N,C"		X	yes	gene			condensed cells				normal cells		
HHIPL2	79802	"N,C"		X	yes	gene			condensed cells				normal cells		
HIST1H2AE	3012	"N,C"	X	X	yes	gene			condensed cells				normal cells		
LIN7C	55327	"N,C"		X	yes	gene			condensed cells				normal cells		
PGLYRP2	114770	"N,C"	X	X	yes	gene			condensed cells				normal cells		
PQBP1	10084	"N,C"	X	X	yes	gene			condensed cells				normal cells		
SLC46A1	113235	"N,C"		X	yes	gene			condensed cells				normal cells		
AFAP1	60312	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
BCAR3		"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
CNTFR	1271	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
COL20A1	57642	"P,C"	X		yes	gene			condensed cells					cells with protrusions and elongations	
COPZ1	22818	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
COPZ2	51226	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
DDX5	1655	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
DNASE1		"P,C"			yes	gene			condensed cells					cells with protrusions and elongations	
DQX1	165545	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
EXOSC8	11340	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
FBXW8	26259	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
FNTB	2342	"C,P"	X		yes	gene			condensed cells					cells with protrusions and elongations	
GALNT4	8693	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
GIMAP5	55340	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
GPR37	2861	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
HN1	51155	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
KCNK10	54207	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
KCNT2	343450	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
KIAA1407	57577	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
KIAA1622	57718	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
KRIT1	889	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
MGC29891	126626	"C,P"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
NDE1	54820	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
NDOR1		"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
NFIA	4774	"C,P"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
NOS3	4846	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
NPFFR2	10886	"P,C"			yes	gene			condensed cells					cells with protrusions and elongations	
NUCB1	4924	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
OFCC1	266553	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
PDYN	5173	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
PGLYRP3	114771	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
PIK3R4	30849	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
PLEK	5341	"P,C"	X		yes	gene			condensed cells					cells with protrusions and elongations	
PNMAL1	55228	"C,P"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
POP1	10940	"C,P"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
PPP1R16A	84988	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
PRKAB1	5564	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
PSMD1	5707	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
RND3	390	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
RPA2	6118	"C,P"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
RPSA		"C,P"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
SCGB1A1	7356	"C,P"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
SLC39A2	29986	"C,P"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
SLC3A2	6520	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
SLITRK3	22865	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
STK39	27347	"P,C"	X		yes	gene			condensed cells					cells with protrusions and elongations	
STRA6	64220	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
SUPT6H	6830	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
SYT4	6860	"P,C"			yes	gene			condensed cells					cells with protrusions and elongations	
SYTL2	54843	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
TAGLN	6876	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
TLN1	7094	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
TRAIP	10293	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
TRIM17	51127	"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
WISP1	8840	"P,C"		X	yes	gene			condensed cells					cells with protrusions and elongations	
ZNF585A		"P,C"	X	X	yes	gene			condensed cells					cells with protrusions and elongations	
APBB1IP	54518	C	X	X	yes	gene			condensed cells						
ARCN1	372	C	X	X	yes	gene			condensed cells						
C1ORF177	163747	C		X	yes	gene			condensed cells						
C6ORF142	90523	C		X	yes	gene			condensed cells						
CST5	1473	C			yes	gene			condensed cells						
ENOSF1	55556	C		X	yes	gene			condensed cells						
GAPDH		C		X	yes	gene			condensed cells						
GLIS1	148979	C		X	yes	gene			condensed cells						
HSD17B10	3028	C		X	yes	gene			condensed cells						
KIAA0090	23065	C		X	yes	gene			condensed cells						
KIAA0157	23172	C		X	yes	gene			condensed cells						
KIF3A	11127	C		X	yes	gene			condensed cells						
PCDHB7	56129	C	X	X	yes	gene			condensed cells						
RBP1	5947	C		X	yes	gene			condensed cells						
RPL38	6169	C	X	X	yes	gene			condensed cells						
RPL8	6132	C	X	X	yes	gene			condensed cells						
RPS11		C	X	X	yes	gene			condensed cells						
RPS14		C		X	yes	gene			condensed cells						
RPS19		C	X	X	yes	gene			condensed cells						
RPS24		C	X	X	yes	gene			condensed cells						
RPS28		C	X	X	yes	gene			condensed cells						
RPS29		C	X	X	yes	gene			condensed cells						
RPS3A		C	X	X	yes	gene			condensed cells						
STAP1	26228	C		X	yes	gene			condensed cells						
TMOD1	7111	C	X	X	yes	gene			condensed cells						
TPPP2	122664	C		X	yes	gene			condensed cells						
TRIM32	22954	C		X	yes	gene			condensed cells						
TSPAN9	10867	C	X	X	yes	gene			condensed cells						
ZNF212	7988	C		X	yes	gene			condensed cells						
ZNF442	79973	C		X	yes	gene			condensed cells						
ZNF595	152687	C	X	X	yes	gene			condensed cells						
SF3B1	23451	"P,M,D"	X	X	yes	gene				debris		metaphase		cells with protrusions and elongations	
COPB1	1315	"M,D"	X	X	yes	gene				debris		metaphase			
POLR2A	5430	"M,D"	X	X	yes	gene				debris		metaphase			
RBM8A	9939	"M,D"	X	X	yes	gene				debris		metaphase			
SF3B4	10262	"M,D"	X	X	yes	gene				debris		metaphase			
WEE1	7465	"M,D"	X	X	yes	gene				debris		metaphase			
OR2F1		"P,D"		X	yes	gene				debris				cells with protrusions and elongations	
RUVBL2	10856	"P,D"	X	X	yes	gene				debris				cells with protrusions and elongations	
WHSC1L1		"M,P,LA"	X	X	yes	gene					lammellipodia	metaphase		cells with protrusions and elongations	
ELL3	80237	"N,LA"	X	X	yes	gene					lammellipodia		normal cells		
GRINL1A		"N,LA"		X	yes	gene					lammellipodia		normal cells		
GTF3C6		"N,LA"		X	yes	gene					lammellipodia		normal cells		
GZMM	3004	"N,LA"	X	X	yes	gene					lammellipodia		normal cells		
KCNK16	83795	"N,LA"	X	X	yes	gene					lammellipodia		normal cells		
KLK1	3816	"N,LA"	X	X	yes	gene					lammellipodia		normal cells		
SHCBP1	79801	"N,LA"	X	X	yes	gene					lammellipodia		normal cells		
AADACL1	57552	"P,LA"		X	yes	gene					lammellipodia			cells with protrusions and elongations	
ASNSD1	54529	"P,LA"	X	X	yes	gene					lammellipodia			cells with protrusions and elongations	
C11ORF61	79684	"P,LA"		X	yes	gene					lammellipodia			cells with protrusions and elongations	
EFEMP2	30008	"P,LA"	X		yes	gene					lammellipodia			cells with protrusions and elongations	
FBXL7	23194	"P,LA"		X	yes	gene					lammellipodia			cells with protrusions and elongations	
FMO5	2330	"P,LA"		X	yes	gene					lammellipodia			cells with protrusions and elongations	
GFM1	85476	"LA,P"	X	X	yes	gene					lammellipodia			cells with protrusions and elongations	
KIF15	56992	"P,LA"	X	X	yes	gene					lammellipodia			cells with protrusions and elongations	
MAGEE2	139599	"P,LA"	X	X	yes	gene					lammellipodia			cells with protrusions and elongations	
MFAP3	4238	"LA,P"		X	yes	gene					lammellipodia			cells with protrusions and elongations	
MID1IP1	58526	"P,LA"	X	X	yes	gene					lammellipodia			cells with protrusions and elongations	
NKD2	85409	"P,LA"	X	X	yes	gene					lammellipodia			cells with protrusions and elongations	
NSUN4	387338	"P,LA"	X	X	yes	gene					lammellipodia			cells with protrusions and elongations	
PAX2	5076	"P,LA"	X	X	yes	gene					lammellipodia			cells with protrusions and elongations	
PLXNB1		"P,LA"	X		yes	gene					lammellipodia			cells with protrusions and elongations	
PRDM8	56978	"P,LA"	X	X	yes	gene					lammellipodia			cells with protrusions and elongations	
PRELP	5549	"P,LA"		X	yes	gene					lammellipodia			cells with protrusions and elongations	
SEC24D	9871	"P,LA"		X	yes	gene					lammellipodia			cells with protrusions and elongations	
SESN3	143686	"P,LA"	X	X	yes	gene					lammellipodia			cells with protrusions and elongations	
SMARCD1	6602	"P,LA"	X		yes	gene					lammellipodia			cells with protrusions and elongations	
WBSCR22	114049	"LA,P"	X	X	yes	gene					lammellipodia			cells with protrusions and elongations	
WDHD1	11169	"LA,P"	X		yes	gene					lammellipodia			cells with protrusions and elongations	
AGXT2	64902	LA	X	X	yes	gene					lammellipodia				
ATP1B3	483	LA		X	yes	gene					lammellipodia				
CA14	23632	LA		X	yes	gene					lammellipodia				
CDC37L1	55664	LA	X	X	yes	gene					lammellipodia				
COX6A2	1339	LA	X	X	yes	gene					lammellipodia				
DHX58	79132	LA		X	yes	gene					lammellipodia				
DNAJB9		LA	X	X	yes	gene					lammellipodia				
EDC3	80153	LA		X	yes	gene					lammellipodia				
ESF1	51575	LA	X	X	yes	gene					lammellipodia				
FAM113A	64773	LA		X	yes	gene					lammellipodia				
INSIG1	3638	LA		X	yes	gene					lammellipodia				
KIAA1468	57614	LA		X	yes	gene					lammellipodia				
KIF20A	10112	LA	X	X	yes	gene					lammellipodia				
MAGEH1	28986	LA	X	X	yes	gene					lammellipodia				
NRN1	51299	LA		X	yes	gene					lammellipodia				
PPCDC	60490	LA		X	yes	gene					lammellipodia				
PXMP2		LA		X	yes	gene					lammellipodia				
SEMA6A	57556	LA		X	yes	gene					lammellipodia				
SLC39A1	27173	LA		X	yes	gene					lammellipodia				
SLC4A2	6522	LA		X	yes	gene					lammellipodia				
TESK2	10420	LA		X	yes	gene					lammellipodia				
TTC22	55001	LA		X	yes	gene					lammellipodia				
BRCC3		"N,M"		X	yes	gene						metaphase	normal cells		
CENPH	64946	"N,M"			yes	gene						metaphase	normal cells		
CSAD	51380	"N,M"			yes	gene						metaphase	normal cells		
ZIM3	114026	"N,M"		X	yes	gene						metaphase	normal cells		
ASF1B	55723	"P,M"			yes	gene						metaphase		cells with protrusions and elongations	
B3GALNT1	8706	"P,M"		X	yes	gene						metaphase		cells with protrusions and elongations	
CD33	945	"P,M"		X	yes	gene						metaphase		cells with protrusions and elongations	
CKAP5	9793	"M,P"	X	X	yes	gene						metaphase		cells with protrusions and elongations	
CTDSP1	58190	"M,P"		X	yes	gene						metaphase		cells with protrusions and elongations	
DYNC1I2		"P,M"	X	X	yes	gene						metaphase		cells with protrusions and elongations	
EIF3C		"M,P"	X	X	yes	gene						metaphase		cells with protrusions and elongations	
EZH1	2145	"P,M"		X	yes	gene						metaphase		cells with protrusions and elongations	
GABRG3	2567	"P,M"		X	yes	gene						metaphase		cells with protrusions and elongations	
HLA-DQB2	3120	"P,M"	X	X	yes	gene						metaphase		cells with protrusions and elongations	
KCND1	3750	"P,M"		X	yes	gene						metaphase		cells with protrusions and elongations	
KCNIP1	30820	"P,M"	X	X	yes	gene						metaphase		cells with protrusions and elongations	
KPNB1	3837	"P,M"		X	yes	gene						metaphase		cells with protrusions and elongations	
LIG4	3981	"P,M"	X		yes	gene						metaphase		cells with protrusions and elongations	
MCM10	55388	"P,M"			yes	gene						metaphase		cells with protrusions and elongations	
NXF5		"P,M"		X	yes	gene						metaphase		cells with protrusions and elongations	
RAB3D	9545	"P,M"	X	X	yes	gene						metaphase		cells with protrusions and elongations	
RPA1	6117	"P,M"	X	X	yes	gene						metaphase		cells with protrusions and elongations	
TPX2	22974	"M,P"	X	X	yes	gene						metaphase		cells with protrusions and elongations	
ZNRF4	148066	"M,P"		X	yes	gene						metaphase		cells with protrusions and elongations	
KIF11	3832	M	X	X	yes	gene						metaphase			
NUF2	83540	M	X	X	yes	gene						metaphase			
PLK1	5347	M	X	X	yes	gene						metaphase			
PSMD3	5709	M	X	X	yes	gene						metaphase			
MARCH7		"N,P"		X	yes	gene							normal cells	cells with protrusions and elongations	
HP		"N,P"		X	yes	gene							normal cells	cells with protrusions and elongations	
IER3IP1	51124	"N,P"		X	yes	gene							normal cells	cells with protrusions and elongations	
NINJ2	4815	"N,P"	X	X	yes	gene							normal cells	cells with protrusions and elongations	
OPTN	10133	"N,P"		X	yes	gene							normal cells	cells with protrusions and elongations	
PLAUR	5329	"N,P"		X	yes	gene							normal cells	cells with protrusions and elongations	
RIC8B	55188	"N,P"	X	X	yes	gene							normal cells	cells with protrusions and elongations	
ADIPOR2	79602	N		X	yes	gene							normal cells		
ANAPC7		N	X	X	yes	gene							normal cells		
ARHGAP20	57569	N		X	yes	gene							normal cells		
BIN3	55909	N		X	yes	gene							normal cells		
CFL1	1072	N	X	X	yes	gene							normal cells		
CHD4	1108	N			yes	gene							normal cells		
DAB2	1601	N		X	yes	gene							normal cells		
DERL2	51009	N		X	yes	gene							normal cells		
DLG4	1742	N		X	yes	gene							normal cells		
FLJ21075	80099	N		X	yes	gene							normal cells		
KIAA1737	85457	N		X	yes	gene							normal cells		
MAGED1	9500	N	X	X	yes	gene							normal cells		
NAGA		N		X	yes	gene							normal cells		
PCBD1	5092	N		X	yes	gene							normal cells		
PPP2R5E	5529	N		X	yes	gene							normal cells		
SLC6A4	6532	N	X		yes	gene							normal cells		
SPATA7	55812	N		X	yes	gene							normal cells		
TENC1	23371	N		X	yes	gene							normal cells		
TMOD2	29767	N		X	yes	gene							normal cells		
TRA2A	29896	N		X	yes	gene							normal cells		
UNG	7374	N		X	yes	gene							normal cells		
ZNF225	7768	N		X	yes	gene							normal cells		
ARFGEF1	10565	P	X	X	yes	gene								cells with protrusions and elongations	
ARHGEF4		P	X		yes	gene								cells with protrusions and elongations	
BLR1	643	P		X	yes	gene								cells with protrusions and elongations	
C12ORF24	29902	P		X	yes	gene								cells with protrusions and elongations	
C6ORF64	55776	P		X	yes	gene								cells with protrusions and elongations	
CCBE1	147372	P		X	yes	gene								cells with protrusions and elongations	
DTL	51514	P	X		yes	gene								cells with protrusions and elongations	
ELMO2	63916	P	X	X	yes	gene								cells with protrusions and elongations	
FAM107A	11170	P		X	yes	gene								cells with protrusions and elongations	
HEBP1	50865	P	X	X	yes	gene								cells with protrusions and elongations	
HIPK2	28996	P	X	X	yes	gene								cells with protrusions and elongations	
HOXC5	3222	P		X	yes	gene								cells with protrusions and elongations	
LIF	3976	P		X	yes	gene								cells with protrusions and elongations	
MAST1	22983	P	X	X	yes	gene								cells with protrusions and elongations	
NOX4	50507	P	X	X	yes	gene								cells with protrusions and elongations	
NR2F6	2063	P	X	X	yes	gene								cells with protrusions and elongations	
NUP205	23165	P	X		yes	gene								cells with protrusions and elongations	
PDCD1LG2	80380	P	X		yes	gene								cells with protrusions and elongations	
PMVK	10654	P		X	yes	gene								cells with protrusions and elongations	
PTPN20B		P		X	yes	gene								cells with protrusions and elongations	
RASA1	5921	P		X	yes	gene								cells with protrusions and elongations	
RHBG	57127	P		X	yes	gene								cells with protrusions and elongations	
SBNO1	55206	P	X		yes	gene								cells with protrusions and elongations	
SETD8		P	X	X	yes	gene								cells with protrusions and elongations	
SH2B2	10603	P	X		yes	gene								cells with protrusions and elongations	
SPIC	121599	P	X	X	yes	gene								cells with protrusions and elongations	
SPP2	6694	P	X	X	yes	gene								cells with protrusions and elongations	
SPTA1	6708	P	X	X	yes	gene								cells with protrusions and elongations	
TRAPPC1	58485	P		X	yes	gene								cells with protrusions and elongations	
TUBE1	51175	P	X	X	yes	gene								cells with protrusions and elongations	
ZBTB48	3104	P		X	yes	gene								cells with protrusions and elongations	
